أله	2851	3
قول	1722	5
كون	1390	3
ربب	980	4
أمن	879	15
علم	854	14
قوم	660	22
أيي	597	2
أتي	549	6
كفر	525	13
بين	523	12
شيأ	519	2
رسل	513	7
يوم	475	1
أرض	461	1
سمو	381	6
كلل	377	4
عذب	373	5
عمل	360	4
جعل	346	2
رحم	339	9
أنس	338	7
رأي	328	8
كتب	319	7
هدي	316	11
ظلم	315	12
نفس	298	4
قبل	294	13
نزل	293	12
ذكر	292	14
حقق	287	7
كذب	282	9
جيأ	278	1
عبد	275	6
أخذ	273	7
خلق	261	8
وقي	258	8
أخر	250	6
أمر	248	6
بعد	235	6
غفر	234	9
ولي	232	11
دعو	212	7
حكم	210	12
ملك	206	9
جنن	201	8
عند	201	2
خير	196	5
نور	194	3
حسن	194	11
ضلل	191	8
حيي	189	13
سمع	185	10
بني	184	9
خرج	182	11
صلح	180	7
سبل	176	1
تبع	172	9
قتل	170	8
مثل	169	7
قلب	168	9
شرك	168	7
كثر	167	10
سوأ	167	10
موت	165	8
كبر	161	18
شهد	160	8
نبأ	160	6
بعض	158	2
نصر	158	10
صدق	155	18
غير	154	5
وعد	151	10
بصر	148	10
رود	148	3
لقي	146	16
دون	144	1
نعم	140	9
سلم	140	15
دنو	133	5
قدر	132	11
نذر	130	8
جمع	129	11
نظر	129	10
سأل	129	6
طوع	129	10
عظم	128	6
خلف	127	18
أهل	127	1
دخل	126	6
أول	125	3
خوف	124	7
رزق	123	4
بشر	123	11
يدي	120	1
عزز	120	8
أمم	119	6
جزي	118	5
أبو	117	3
نهر	113	3
نفق	111	9
أكل	109	6
حسب	109	8
فعل	108	6
أجر	108	3
وجد	107	2
عدو	106	13
رجع	104	6
فضل	104	4
صبر	103	7
أذن	102	9
شدد	102	5
ولد	102	7
دين	101	5
صلو	99	4
صحب	97	5
قرب	96	11
بغي	96	8
أخو	96	3
حبب	95	9
سبح	92	7
سجد	92	4
ليل	92	2
ليس	89	1
شطن	88	1
قرأ	88	4
خلد	87	6
توب	87	7
مول	86	1
أحد	85	2
نجو	84	10
سوي	83	7
كيف	83	1
حرم	83	6
زوج	81	2
عقب	80	11
عرض	79	10
وجه	78	5
وحي	78	2
صوب	77	5
بلغ	77	8
قلل	76	6
ألم	75	2
كلم	75	6
شكر	75	6
ضرر	74	11
بأس	73	6
رضو	73	11
بيت	73	4
رجل	73	4
غني	73	5
فرق	72	14
عرف	71	9
يمن	71	3
متع	70	4
علو	70	15
وكل	70	4
سكن	69	10
ظنن	69	3
حمد	68	7
وحد	68	4
هلك	68	8
بعث	67	5
كسب	67	2
وفي	66	7
جرم	66	5
خسر	65	10
عين	65	3
جري	64	4
حمل	64	10
موه	63	1
تلو	63	3
سحر	63	7
قضي	63	4
عود	63	5
ذوق	63	4
زيد	61	4
مسس	61	4
غيب	60	6
فتن	60	5
فري	60	8
زكو	59	7
نسو	59	1
ظهر	59	10
ردد	59	8
ضرب	58	2
عدد	57	11
قري	57	1
روح	57	6
ذهب	56	5
نهي	56	7
أجل	56	4
دور	55	6
فسق	54	4
ندي	53	8
خبر	52	4
ضعف	52	11
تحت	51	1
حلل	51	8
فسد	50	4
